ALGORITHM,ELEMENT ARRAY TYPE,ARRAY ORDER,START TIME,END TIME,ELAPSED TIME
PassPerItem,int,random,153115565180152,153115965591168,400411016
UntilNoChange,int,random,153115966212450,153116305893293,339680843
WhileNeeded,int,random,153116306059191,153116536545341,230486150
PassPerItem,int,random,153116536939423,153116943581226,406641803
UntilNoChange,int,random,153116943739520,153117269710042,325970522
WhileNeeded,int,random,153117269870791,153117499535825,229665034
PassPerItem,int,random,153117499933897,153117900853659,400919762
UntilNoChange,int,random,153117901057905,153118228499701,327441796
WhileNeeded,int,random,153118228653954,153118458286973,229633019
PassPerItem,int,random,153118458713146,153118861545222,402832076
UntilNoChange,int,random,153118861742649,153119205914783,344172134
WhileNeeded,int,random,153119206123877,153119483283801,277159924
PassPerItem,int,random,153119483725479,153119892821762,409096283
UntilNoChange,int,random,153119893002011,153120224268861,331266850
WhileNeeded,int,random,153120224414474,153120453286925,228872451
PassPerItem,int,random,153120453697927,153120854493019,400795092
UntilNoChange,int,random,153120854642573,153121185865613,331223040
WhileNeeded,int,random,153121186024813,153121415896015,229871202
PassPerItem,int,random,153121416408472,153121817373268,400964796
UntilNoChange,int,random,153121817555714,153122144364342,326808628
WhileNeeded,int,random,153122144509617,153122375038543,230528926
PassPerItem,int,random,153122375522792,153122776715044,401192252
UntilNoChange,int,random,153122776851204,153123103411240,326560036
WhileNeeded,int,random,153123103556209,153123332907717,229351508
PassPerItem,int,random,153123333301137,153123734037176,400736039
UntilNoChange,int,random,153123734172871,153124059127916,324955045
WhileNeeded,int,random,153124059260062,153124287498896,228238834
PassPerItem,int,random,153124287902888,153124688265676,400362788
UntilNoChange,int,random,153124688404027,153125014386876,325982849
WhileNeeded,int,random,153125014531145,153125243501190,228970045
PassPerItem,int,random,153125243950277,153125645477600,401527323
UntilNoChange,int,random,153125645632261,153125972343352,326711091
WhileNeeded,int,random,153125972488992,153126209586883,237097891
PassPerItem,int,random,153126210000863,153126614610113,404609250
UntilNoChange,int,random,153126614757266,153126940773469,326016203
WhileNeeded,int,random,153126940885391,153127170094752,229209361
PassPerItem,int,random,153127170515722,153127572061202,401545480
UntilNoChange,int,random,153127572178677,153127900015355,327836678
WhileNeeded,int,random,153127900133350,153128130906674,230773324
PassPerItem,int,random,153128131276963,153128532458654,401181691
UntilNoChange,int,random,153128532599191,153128859957759,327358568
WhileNeeded,int,random,153128860076361,153129089623908,229547547
PassPerItem,int,random,153129089979866,153129490462440,400482574
UntilNoChange,int,random,153129490575480,153129814409068,323833588
WhileNeeded,int,random,153129814519205,153130043434579,228915374
PassPerItem,int,random,153130043738323,153130445010586,401272263
UntilNoChange,int,random,153130445116135,153130772214091,327097956
WhileNeeded,int,random,153130772303460,153131002825884,230522424
PassPerItem,int,random,153131003170750,153131408730913,405560163
UntilNoChange,int,random,153131408839432,153131737613147,328773715
WhileNeeded,int,random,153131737718123,153131969838288,232120165
PassPerItem,int,random,153131970234877,153132371014376,400779499
UntilNoChange,int,random,153132371133290,153132697388601,326255311
WhileNeeded,int,random,153132697492811,153132925993148,228500337
PassPerItem,int,random,153132926299106,153133327655939,401356833
UntilNoChange,int,random,153133327762946,153133653244103,325481157
WhileNeeded,int,random,153133653344010,153133883003727,229659717
PassPerItem,int,random,153133883318609,153134284761282,401442673
UntilNoChange,int,random,153134284867879,153134609351284,324483405
WhileNeeded,int,random,153134609456715,153134839377186,229920471
